Rk,Player,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,school,player_link,player_id,season
1,Gary Baxter,10,59,131,45,555,4.2,2.3,1,6,74,air-force,/cfb/players/gary-baxter-1,gary-baxter-1,1967
2,Steve Turner,10,40,90,44.4,458,5.1,2,2,7,79,air-force,/cfb/players/steve-turner-1,steve-turner-1,1967
3,Craig Baer,10,7,19,36.8,114,6,-1.1,0,3,55.7,air-force,/cfb/players/craig-baer-1,craig-baer-1,1967
4,Dave Mumme,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/dave-mumme-1,dave-mumme-1,1967
5,Jack Hannig,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/jack-hannig-1,jack-hannig-1,1967
1,Gary Baxter,10,76,168,45.2,1024,6.1,5.6,7,5,104.2,air-force,/cfb/players/gary-baxter-1,gary-baxter-1,1968
2,Steve Turner,10,25,49,51,345,7,5.6,1,2,108.7,air-force,/cfb/players/steve-turner-1,steve-turner-1,1968
1,Gary Baxter,10,127,273,46.5,1783,6.5,5,13,15,106.1,air-force,/cfb/players/gary-baxter-1,gary-baxter-1,1969
2,Bob Parker,10,12,29,41.4,205,7.1,9.8,4,0,146.3,air-force,/cfb/players/bob-parker-1,bob-parker-1,1969
1,Bob Parker,12,199,402,49.5,2789,6.9,6.3,21,15,117.6,air-force,/cfb/players/bob-parker-1,bob-parker-1,1970
2,Joel Carlson,6,1,2,50,12,6,6,0,0,100.4,air-force,/cfb/players/joel-carlson-1,joel-carlson-1,1970
1,Rich Haynie,10,86,204,42.2,1335,6.5,4,8,15,95.4,air-force,/cfb/players/rich-haynie-1,rich-haynie-1,1971
2,Joel Carlson,10,9,32,28.1,97,3,3,0,0,53.6,air-force,/cfb/players/joel-carlson-1,joel-carlson-1,1971
1,Rich Haynie,10,102,240,42.5,1570,6.5,5,17,16,107.5,air-force,/cfb/players/rich-haynie-1,rich-haynie-1,1972
2,Bob Thompson,10,8,14,57.1,145,10.4,8.6,1,1,153.4,air-force,/cfb/players/bob-thompson-1,bob-thompson-1,1972
3,Joel Carlson,10,1,1,100,16,16,16,0,0,234.4,air-force,/cfb/players/joel-carlson-1,joel-carlson-1,1972
4,Mike Mark,10,0,1,0,0,0,-45,0,1,-200,air-force,/cfb/players/mike-mark-1,mike-mark-1,1972
5,Ray Wild,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/ray-wild-1,ray-wild-1,1972
1,Rich Haynie,10,111,218,50.9,1378,6.3,5.3,9,9,109.4,air-force,/cfb/players/rich-haynie-1,rich-haynie-1,1973
2,Pat Degnan,10,11,22,50,105,4.8,-1.4,0,3,62.8,air-force,/cfb/players/pat-degnan-1,pat-degnan-1,1973
3,Mike Worden,10,4,11,36.4,59,5.4,-1,1,2,75.1,air-force,/cfb/players/mike-worden-1,mike-worden-1,1973
1,Mike Worden,11,61,128,47.7,798,6.2,3,2,10,89.6,air-force,/cfb/players/mike-worden-1,mike-worden-1,1974
2,Rob Shaw,11,39,78,50,42,0.5,-3.2,1,7,40.8,air-force,/cfb/players/rob-shaw-1,rob-shaw-1,1974
