cfbref_id,pfr_id,av,season,pick,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,g,att,rush_att,srs,sos,off_plus,yards_plus,cmp_plus,td_plus,int_plus,rush_yards_plus,rush_tds_plus,predicted_av
charlie-whitehurst-1,WhitCh02, 2.000000,2006, 81,24,76,220,4.750000,33.00000,112.0000,4.110000,18.14084,7.000000,44,1368,266,  8.03022727, 4.28636364, 95.42233,  -15.815982, 37.21731735,-16.88798786,  0.63016972,-1002.496251, -1.062362191,10.5606644
chris-chandler-1,ChanCh00,25.000000,1988, 76,22,76,224,4.870000,30.00000,102.0000,4.400000,10.00000,7.283289,29, 597,121, 11.60620690, 5.17206897,116.75968,   75.392630,  7.37995650,  8.16630189, -1.13471251, -211.913014,  2.622526398,13.5382631
chris-miller-4,MillCh00,37.000000,1987, 13,22,74,212,4.740000,30.50000,117.0000,4.350000,17.39635,7.217758,36,1015,180,  1.98166667, 3.86194444, 97.77903, -272.532545, 16.50869569,  1.20589143, -8.38603972, -532.354036,  0.713427305,17.2087585
chris-redman-1,RedmCh00, 3.000000,2000, 75,23,75,223,5.370000,26.50000, 98.0000,4.780000,18.42003,7.800000,43,1679,167, -2.68976744,-0.67581395,111.25080,  602.762649,120.90693654,  3.88966140, -9.59348931,-1074.633752, -3.628635540, 6.3613590
chris-simms-1,SimmCh00, 8.000000,2003, 97,23,76,220,4.840000,31.00000,103.0000,4.210000,18.14084,7.380000,41, 911,159, 15.59317073, 2.71585366,136.84290,  723.716501, 30.69441170, 14.53578146, -0.76836725, -783.866515,  3.286193927,12.1045127
chris-weinke-1,WeinCh00, 7.000000,2001,106,29,76,232,5.200000,33.82022,116.4206,4.652500,19.25758,7.614222,36,1107,110, 22.48888889, 5.96666667,141.83665, 2074.763267, 48.52169532, 27.59961714, -7.67125315, -800.871873, -2.388049947, 6.9551170
christian-hackenberg-1,HackCh01, 0.000000,2016, 51,21,76,223,4.780000,31.00000,114.0000,4.330000,18.42003,7.040000,38,1235,208,  4.12526316, 2.49657895, 82.27533, -508.204563,-39.20006155,-16.09204124, -4.36377812,-1201.795021, -3.700354883,15.9209975
christian-ponder-1,PondCh00,23.000000,2011, 12,23,74,222,4.630000,34.00000,116.0000,4.090000,18.32696,6.850000,35, 965,296, 10.53857143, 4.23371429,115.85788,   -7.987055, 22.85170897,  0.40326028, -0.15531900, -468.365433, -3.391862767,14.3957923
chuck-clements-1,ClemCh21, 0.000000,1997,191,23,75,214,4.980000,31.50000,108.0000,4.360000,17.58248,7.230864,36,1192, 92, -6.76333333, 3.05916667, 78.44297,-1247.101495, 33.61750972,-12.22750259, -5.81703202, -591.296282, -3.643946669, 4.6943397
clayton-thorson-1,ThorCl00, 0.000000,2019,167,24,76,222,4.640081,34.39122,117.4435,4.286518,18.32696,7.134557,53,1696,362,  7.90000000, 4.61792453, 84.49526,-1795.184018,-16.27370227,-29.76873088, -1.41338065,-1276.122460,  9.919652009,12.4978600
cody-carlson-1,CarlCo00, 5.000000,1987, 64,23,75,202,4.820000,29.50000,111.0000,4.450000,16.46574,7.348820,33, 705,195,  8.20333333, 2.74666667,109.64616,  576.326862,-12.63085889,  4.55142975,  0.65562053, -327.354906, -2.871525700, 1.6903146
cody-kessler-1,KessCo00, 5.000000,2016, 93,23,73,224,4.890000,29.50000,104.0000,4.000000,18.51309,7.320000,51,1261,158, 12.66411765, 6.37705882,112.57488, 1180.248082,103.77005052, 22.50493455,-17.07099823,-1154.007192, -0.367394495,24.6834248
cody-pickett-1,PickCo00, 1.000000,2004,217,24,75,220,4.790000,30.50000,109.0000,4.300000,18.14084,7.190000,38,1373,249,  6.80210526, 4.66131579,107.63438,  226.846014, 22.87819882,-13.04397764, -4.89865334,-1208.324273,  0.493393673, 2.7464654
cole-mcdonald-1,McDoCo00, 0.000000,2020,224,22,75,215,4.580000,36.00000,121.0000,4.520000,17.67554,7.130000,33,1004,251, -4.83606061,-3.45060606,105.91540,  526.462548,  9.65564750, 14.82422174, -2.02843102, -278.753126,  0.159102112,15.0591518
colin-kaepernick-1,KaepCo00,40.000000,2011, 36,23,76,225,4.530000,32.50000,115.0000,4.180000,18.60615,6.850000,51,1271,600,  3.31705882,-3.83529412,137.87479, 1079.769045,-14.43820717, 17.99225363,-15.97707953, 1485.171813, 32.035082164,44.7835609
colt-brennan-1,BrenCo00, 0.000000,2008,186,25,74,207,4.790000,35.06539,118.6512,4.384510,16.93105,7.262988,38,1584,267,  4.18263158,-3.94368421,156.59843, 3044.508999,187.34779218, 53.54046902, -9.98324512, -568.271456,  3.831507999,10.6389225
