pos,year,age,av,player_id,g,gs
QB,2000*+,35,20,GannRi00,16,16
QB,2001*,36,16,GannRi00,16,16
QB,2002*+,37,17,GannRi00,16,16
QB,2003,38,3,GannRi00,7,7
QB,2004,39,2,GannRi00,3,3
QB,1988,23,6,BeueSt00,10,8
QB,1989,24,6,BeueSt00,10,7
QB,1991,26,3,BeueSt00,8,4
QB,1992,27,1,BeueSt00,16,0
QB,1993,28,11,BeueSt00,16,14
QB,1994,29,3,BeueSt00,9,7
QB,1995,30,3,BeueSt00,7,6
QB,1996,31,3,BeueSt00,8,4
QB,1997,32,4,BeueSt00,7,3
QB,1998,33,9,BeueSt00,12,12
QB,1999*,34,19,BeueSt00,16,16
QB,2000,35,12,BeueSt00,16,16
QB,2002,37,3,BeueSt00,8,3
QB,2003,38,2,BeueSt00,4,2
QB,1987,24,1,SweeKe00,3,2
QB,1988,25,1,SweeKe00,3,2
QB,1987,23,0,HudsDo20,1,1
QB,1987,22,1,GarzSa20,2,1
QB,1987,23,3,MajkDo00,7,5
QB,1988,24,6,MajkDo00,13,9
QB,1989*,25,18,MajkDo00,16,16
QB,1990,26,6,MajkDo00,9,8
QB,1991,27,3,MajkDo00,9,8
QB,1992,28,1,MajkDo00,14,3
QB,1993,29,0,MajkDo00,3,0
QB,1994,30,3,MajkDo00,9,6
QB,1995,31,1,MajkDo00,5,0
QB,1996,32,2,MajkDo00,5,2
QB,1987,23,2,PeasBr00,7,3
QB,1988,24,0,PeasBr00,13,0
QB,1987,23,1,WaltDa20,3,2
QB,1988,23,8,ChanCh00,15,13
QB,1989,24,2,ChanCh00,3,3
QB,1990,25,2,ChanCh00,7,3
QB,1991,26,3,ChanCh00,9,5
QB,1992,27,10,ChanCh00,15,13
QB,1993,28,2,ChanCh00,4,2
QB,1994,29,5,ChanCh00,12,6
QB,1995,30,8,ChanCh00,13,13
QB,1996,31,8,ChanCh00,12,12
QB,1997*,32,11,ChanCh00,14,14
QB,1998*,33,14,ChanCh00,14,14
QB,1999,34,8,ChanCh00,12,12
QB,2000,35,7,ChanCh00,14,13
QB,2001,36,10,ChanCh00,14,14
QB,2002,37,3,ChanCh00,9,7
QB,2003,38,1,ChanCh00,8,6
QB,2004,39,1,ChanCh00,5,2
QB,1989,25,1,SecuSc00,15,0
QB,1990,26,0,SecuSc00,16,0
QB,1991,27,1,SecuSc00,14,0
QB,1993,29,3,SecuSc00,12,4
QB,1989,24,0,HumpSt00,2,0
QB,1990,25,1,HumpSt00,7,5
QB,1992,27,13,HumpSt00,16,15
QB,1993,28,8,HumpSt00,12,10
QB,1994,29,12,HumpSt00,15,15
QB,1995,30,10,HumpSt00,15,15
QB,1996,31,8,HumpSt00,13,13
QB,1997,32,4,HumpSt00,8,8
QB,1996,31,0,BellKe00,1,0
QB,1989,23,2,AikmTr00,11,11
QB,1990,24,8,AikmTr00,15,15
QB,1991*,25,11,AikmTr00,12,12
QB,1992*,26,17,AikmTr00,16,16
QB,1993*,27,16,AikmTr00,14,14
QB,1994*,28,12,AikmTr00,14,14
QB,1995*,29,14,AikmTr00,16,16
QB,1996*,30,9,AikmTr00,15,15
QB,1997,31,8,AikmTr00,16,16
QB,1998,32,9,AikmTr00,11,11
QB,1999,33,10,AikmTr00,14,14
QB,2000,34,4,AikmTr00,11,11
QB,1989,23,0,ElkiMi00,1,0
QB,1989,23,1,TollBi00,5,5
QB,1990,24,9,TollBi00,15,14
QB,1991,25,2,TollBi00,7,2
QB,1992,26,3,TollBi00,9,5
QB,1993,27,2,TollBi00,7,2
QB,1994,28,1,TollBi00,10,7
QB,1997,31,2,TollBi00,9,1
QB,1998,32,4,TollBi00,7,4
QB,1999,33,4,TollBi00,10,7
QB,1989,24,0,DilwAn00,1,0
QB,1990,25,4,DilwAn00,9,7
QB,1989,24,2,WilhEr00,6,0
QB,1990,25,0,WilhEr00,7,0
QB,1991,26,1,WilhEr00,4,1
QB,1993,28,0,WilhEr00,1,0
QB,1994,29,0,WilhEr00,1,0
QB,1996,31,0,WilhEr00,3,0
QB,1990,24,0,CarlJe00,1,0
QB,1991,25,1,CarlJe00,3,1
QB,1992,26,1,CarlJe00,3,2
QB,1990,24,0,FranJe20,1,0
QB,1989,23,6,PeetRo00,8,8
QB,1990,24,11,PeetRo00,11,11
QB,1991,25,6,PeetRo00,8,8
QB,1992,26,7,PeetRo00,10,10
QB,1993,27,5,PeetRo00,10,10
QB,1994,28,2,PeetRo00,7,1
QB,1995,29,6,PeetRo00,15,12
QB,1996,30,3,PeetRo00,5,5
QB,1997,31,2,PeetRo00,5,3
QB,1998,32,2,PeetRo00,5,4
QB,1999,33,0,PeetRo00,3,0
QB,2001,35,0,PeetRo00,1,0
QB,2002,36,6,PeetRo00,14,14
QB,2003,37,0,PeetRo00,1,1
QB,2004,38,0,PeetRo00,1,0
QB,1990,23,7,GeorJe00,13,12
QB,1991,24,5,GeorJe00,16,16
QB,1992,25,4,GeorJe00,10,10
QB,1993,26,6,GeorJe00,13,11
QB,1994,27,11,GeorJe00,16,16
QB,1995,28,13,GeorJe00,16,16
QB,1996,29,2,GeorJe00,3,3
QB,1997,30,12,GeorJe00,16,16
QB,1998,31,3,GeorJe00,8,7
QB,1999,32,11,GeorJe00,12,10
QB,2000,33,5,GeorJe00,6,5
QB,2001,34,0,GeorJe00,2,2
QB,1990,22,1,WareAn00,4,1
