pos,av,g,gs,player_id
,0,7,NA,CobbCe00
RB,0,5,0,CobbCe00
RB,13,59,1,TurnMi00
RB,1,19,0,EcheAd00
,0,4,NA,WilsQu00
RB,0,4,0,WilsQu00
RB,8,35,5,WardDe01
,0,5,1,PerrBr01
RB,0,5,1,PerrBr01
RB,31,51,46,BrowRo05
RB,15,47,22,BensCe00
RB,18,38,33,WillCa02
,0,9,NA,ShelEr00
RB,0,9,0,ShelEr00
RB,39,59,46,GoreFr00
RB,8,40,5,MoreVe00
RB,7,38,3,MoatRy00
RB,30,60,16,BarbMa01
RB,24,55,22,JacoBr00
,1,18,NA,FasoCi00
RB,1,18,0,FasoCi00
RB,5,33,0,PearAl00
Missed season - Injured (broken ankle),NA,NA,NA,SproDa00
RB,13,46,0,SproDa00
,2,9,NA,NashDa00
RB,1,6,0,NashDa00
,5,20,5,HousCe00
RB,5,20,5,HousCe00
,0,6,NA,BrouNe00
FB,0,6,0,BrouNe00
RB,4,30,0,HerrNo00
RB,36,52,35,BushRe00
RB,26,45,14,MaroLa00
RB,34,58,31,WillDe02
RB,46,58,42,AddaJo00
RB,15,58,18,WhitLe01
RB,49,63,20,DrewMa00
,1,11,NA,CalhBr00
RB,1,11,0,CalhBr00
RB,21,55,6,NorwJe00
RB,25,55,13,WashLe00
RB,10,47,8,HarrJe00
,5,14,8,LundWa00
RB,5,14,8,LundWa00
RB,3,25,4,GantQu00
RB,52,61,54,PeteAd01
RB,26,57,48,LyncMa00
RB,1,11,0,HenrCh01
FB,3,16,7,LeonBr00
RB,3,27,1,LeonBr00
RB,17,52,16,JackBr00
RB,4,36,2,BookLo00
,0,14,2,HuntTo01
RB,0,14,2,HuntTo01
RB,2,50,0,WolfGa00
RB,22,61,19,BushMi00
,3,23,5,PittAn00
FB,2,12,5,PittAn00
RB,1,11,0,PittAn00
,1,15,NA,WrigDw01
RB,1,15,0,WrigDw01
FB,12,63,54,McClLe00
,4,27,9,SmitKo00
FB,3,16,6,SmitKo00
RB,1,11,3,SmitKo00
RB,3,23,4,WynnDe00
RB,14,51,3,SnelJa00
RB,4,41,1,DarbKe00
RB,21,58,12,BradAh00
RB,26,45,32,McFaDa00
RB,28,62,13,StewJo00
RB,23,48,16,JoneFe00
RB,26,51,44,MendRa00
RB,50,63,62,JohnCh04
RB,45,60,60,FortMa00
RB,53,61,49,RiceRa00
RB,19,42,29,SmitKe02
FB,1,15,10,HestJa00
RB,5,47,13,HestJa00
RB,31,49,19,CharJa00
RB,21,45,26,SlatSt00
RB,12,61,4,ChoiTa00
RB,5,22,13,ToraRy00
FB,1,26,14,FeltJe00
RB,1,30,5,FeltJe00
RB,21,53,41,HighTi00
RB,1,35,2,ParmJa00
,0,7,NA,OmonXa00
RB,0,7,0,OmonXa00
,3,21,1,HartMi00
RB,3,21,1,HartMi00
FB/RB,0,14,9,HillLe00
RB,3,48,4,HillLe00
RB,0,11,0,WashCh00
RB,17,52,31,HillPe00
RB,6,44,2,ForsJu00
RB,21,44,30,MoreKn00
RB,17,50,15,BrowDo00
RB,15,51,23,WellCh00
RB,38,58,44,McCoLe01
RB,21,61,31,GreeSh00
,2,14,2,CoffGl00
RB,2,14,2,CoffGl00
RB,7,40,3,GoodMi00
RB,4,18,2,BrowAn03
,0,28,NA,JohnGa01
RB,0,19,0,JohnGa01
,1,27,16,SummFr00
RB,1,27,16,SummFr00
RB,5,37,0,RingJa00
RB,3,38,1,PeerCe00
,2,22,2,BrowAa00
RB,2,22,2,BrowAa00
RB,2,16,0,DaviJa03
RB,9,47,3,ScotBe00
RB,6,28,8,OgboCh00
,0,4,NA,WillJa05
RB,0,4,0,WillJa05
,0,6,NA,WillEd00
RB,0,12,0,WillEd00
RB,10,57,10,StepLa00
RB,16,53,17,JennRa00
RB,37,54,46,MathRy00
